id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
451,"Micro Lad","38","28","27","28","44","32","Gim Allon","No alter egos found.","Colossal Boy (mostly known as Colossal Boy","-","Teen Titans/Legion Special #1 (2004)","DC Comics","good","Male","null","6'","183 cm","170 lb","77 kg","Grey","Brown","-","United Planets, 31st century","Legion of Super-Heroes","-","although he dislikes that name himself)",,,,,,,,,,,,,,,,,,
452,"Mimic","63","67","47","56","79","42","Calvin Montgomery Rankin","No alter egos found.","Cal","Passiac, New Jersey","Uncanny X-Men #19","Marvel Comics","good","Male","null","6'2","188 cm","225 lb","101 kg","Brown","Brown","-","-","Formerly Brotherhood Of Mutants, Excalibur, X-Men, former agent of Onslaught and Sledge","Ronald Rankin (father, deceased)","Wolverine",Calvin Rankin,,,,,,,,,,,,,,,,,
453,"Minna Murray","null","null","null","null","null","null","Wilhelmina Harker","No alter egos found.","-","-","-","Wildstorm","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
454,"Misfit","63","32","23","80","91","42","Charlotte Gage-Radcliffe","Batgirl V","Batgirl","-","Birds of Prey #96","Batgirl V","good","Female","null","-","0 cm","- lb","0 kg","Blue","Red","-","Dalten Towers, Metropolis","Birds of Prey","-",,,,,,,,,,,,,,,,,,,
455,"Miss Martian","63","85","58","100","100","45","M'gann M'orzz","No alter egos found.","Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias)","Mars","Teen Titans Vol 3 #37 (August, 2006)","DC Comics","good","Female","null","5'10","178 cm","135 lb","61 kg","Red","Red","Adventurer","Arizona; San Francisco, California; formerly the Tanami Desert, Australia","Teen Titans","-","Star-Spangled Kid",,,,,,,,,,,,,,,,,,
456,"Mister Fantastic","100","10","18","70","33","64","Reed Richards","No alter egos found.","Mr Fantastic","Central City, California","FANTASTIC FOUR #1","Marvel Comics","good","Male","Human / Radiation","6'1","185 cm","180 lb","81 kg","Brown","Brown","Scientist, adventurer","New York City","Fantastic Four","Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",,,,,,,,,,,,,,,,,,,
457,"Mister Freeze","75","32","12","70","37","28","Victor Fries","No alter egos found.","Mister Zero","-","Batman #121 (Feb. 1959)","DC Comics","bad","Male","Human","6'0","183 cm","190 lb","86 kg","-","-","-","-","Assorted Batman rogues, The Society","Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)","Doctor Zero",Doctor Schimmell,,,,,,,,,,,,,,,,,
458,"Mister Knife","75","10","17","30","13","65","J'son","No alter egos found.","Jason of Spartax","Spartax, Spartoi Empire, near the Shi'ar Galaxy","Inhumans Vol 3 #2 (July, 2000)","Marvel Comics","bad","Male","Spartoi","-","0 cm","- lb","0 kg","Blue","Brown","Crimelord; former emperor, prince","Formerly Spartax, Spartoi Empire, near the Shi'ar Galaxy","Slaughter Lords (leader); formerly Galactic Council, ruler of the Spartoi Empire","Eson (father, deceased), Peter Quill (Star-Lord, son), Victoria (daughter)","Jason of Sparta",Star-Lord,Mr Knife,,,,,,,,,,,,,,,,
459,"Mister Mxyzptlk","100","85","100","100","100","50","Mr. Mxyzptlk","No alter egos found.","-","-","Superman #30","DC Comics","bad","Male","God / Eternal","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
460,"Mister Sinister","100","48","46","90","100","50","Nathaniel Essex","No alter egos found.","Sinister","London, England","Uncanny X-Men #221 (September, 1987)","Marvel Comics","bad","Male","Human / Altered","6'5","196 cm","285 lb","128 kg","Red","Black","Geneticist, Criminal, biologist and mutant-supremacist","Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.","Marauders (founder), Nasty Boys (founder); formerly Weapon X, Third Reich","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")","Robert Windsor",Arnold Bocklin,Mike Milbury,Apocalypse,Steven Shaffran,"Edmond Atkinson","Nate","Administrator Pearson","Nosferatu","Nathan Milbury","Pale Man",,,,,,,,
461,"Mister Zsasz","88","22","33","28","18","85","Victor Zsasz","No alter egos found.","Mr Zsasz","-","-","DC Comics","bad","Male","Human","-","0 cm","- lb","0 kg","Blue","Blond","Serial Killer","-","-","-",,,,,,,,,,,,,,,,,,,
462,"Mockingbird","75","31","38","20","48","95","Barbara Morse","No alter egos found.","Barbara Morse-Barton","San Diego, California","Astonishing Tales #6 (June, 1971)","Marvel Comics","good","Female","Human","5'9","175 cm","135 lb","61 kg","Blue","Blond","Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist","New York City, New York","World Counterterrorism Agency; formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.H.I.E.L.D.; partner of Hawkeye; associate of Dr. Wilma Calvin","Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband)","Roberta Morse",Agent 19,Huntress,Bobbi Van Dyne; once posed as Shooting Star,,,,,,,,,,,,,,,
463,"MODOK","100","18","25","25","79","15","George Tarleton","No alter egos found.","M.O.D.O.K.","-","Tales of Suspense #93","Marvel Comics","bad","Male","Cyborg","12'0","366 cm","750 lb","338 kg","White","Brownn","Would-be conqueror, AIM leader, terrorist; former AIM agent, technician","-","-","M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)","Mental Organism Designed Only for Killing",,,,,,,,,,,,,,,,,,
464,"Mogo","null","null","null","null","null","null","Mogo","No alter egos found.","-","-","Green Lantern Vol 2 #188 (May, 1985)","DC Comics","good","Male","Planet","-","0 cm","- lb","0 kg","-","-","Green Lantern","Sector 2261","Green Lantern Corps","-",,,,,,,,,,,,,,,,,,,
465,"Mohinder Suresh","null","null","null","null","null","null","Mohinder Suresh","No alter egos found.","-","India","Heroes S01E01 - Genesis","NBC - Heroes","good","Male","null","-","0 cm","- lb","0 kg","-","-","Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor","Apartment in Brooklyn, NY","-","formerly Maya Herrera, formerly Mira Shenoy, Chandra Suresh (deceased), Unnamed mother, Shanti Suresh",,,,,,,,,,,,,,,,,,,
466,"Moloch","null","null","null","null","null","null","Edgar William Jacobi","No alter egos found.","William Edgar Bright","-","-","DC Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-","Moloch the Mystic",,,,,,,,,,,,,,,,,,
467,"Molten Man","50","73","23","84","53","56","Mark Raxton","No alter egos found.","-","-","Amazing Spider-Man #28 (1965)","Marvel Comics","bad","Male","null","6'5","196 cm","550 lb","248 kg","Gold","Gold","Security guard for Osborn industries, former criminal, lab assistant","-","Exterminators","Doris Raxton (mother), Liz Allan Osborn (step-sister), Harry Osborn (Green Goblin II , step-brother-in-law, deceased), Norman Osborn Jr. (Green Goblin I, step-nephew)",,,,,,,,,,,,,,,,,,,
468,"Monarch","null","100","null","null","null","null","Nathaniel Christopher Adam","No alter egos found.","Monarch","-","Captain Atom #1 (D.C., March, 1987)","DC Comics","good","Male","null","6'4","193 cm","200 lb","90 kg","Blue","White","Adventurer, former U.S. Special Agent, former U.S. Air Force Captain","-","formally Justice League, Extreme Justice, Super Buddies, L.A.W., United States Air Force","Angela Adams (wife, deceased), Margaret Eiling (daughter), Randall Eiling (son)","Allen Adam",Cameron Scott,Captain Atom,,,,,,,,,,,,,,,,
469,"Monica Dawson","50","10","35","14","48","90","Monica Dawson","No alter egos found.","-","-","Heroes S02E04 - The Kindness of Strangers","NBC - Heroes","good","Female","null","-","0 cm","- lb","0 kg","-","-","Fast food service","New Orleans, LA","-","Nana Dawson (Grandmother), Damon (brother), DL Hawkins (cousin), Niki Sanders (cousin-in-law once removed), Micah Sanders (second cousin)",,,,,,,,,,,,,,,,,,,
470,"Moon Knight","50","36","23","42","28","75","Marc Spector","No alter egos found.","Jake Lockley","Chicago, Illinois","Werewolf by Night #32 (August, 1975)","Marvel Comics","good","Male","Human","6'2","188 cm","225 lb","101 kg","Brown","Brown","Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver","New York City; formerly Spector Mansion, Long Island, Avengers Compound, California","Secret Avengers; formerly: US Marine Corps, Central Intelligence Agency (CIA), partner of Jean-Paul du Champ, partner of Raoul Bushman, partner of Midnight, West Coast Avengers, Marvel Knights, Defenders","Shadowknight (Randall Spector) (brother, deceased), Elias (father, deceased), Seth Phalkon (alleged great-great-grandfather)","Steven Grant",Yitzak Topol,Fist of Khonshu,Crescent Crusader,Lunar Legionnaire,,,,,,,,,,,,,,
471,"Moonstone","56","67","47","52","74","80","Karla Sofen","No alter egos found.","Meteorite","Van Nuys, California","Captain America Vol. 1 #192 (December, 1975)","Marvel Comics","bad","Female","null","5'11","180 cm","130 lb","59 kg","Blue","Blond","former Adventurer, Psychiatrist","formerly Mount Charteris; Four Freedoms Plaza","Dark Avengers, Formerly; Thunderbolts, Femizons, Masters of Evil, Doctor Faustus, the Corporation, former partner of Blackout (Marcus Daniels)","Karl August Sofen (father), Marion Sofen (mother), unnamed maternal grandparents (only mentioned )"," Kate Sorenson",,,,,,,,,,,,,,,,,,
472,"Morlun","63","60","35","42","74","56","Morlun","No alter egos found.","-","-","Amazing Spider-Man #30 (2001)","Marvel Comics","bad","Male","null","6'2","188 cm","175 lb","79 kg","White / Red","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
473,"Morph","null","40","null","null","null","null","Kevin Sydney","No alter egos found.","-","Pittsburgh, Pennsylvania","Exiles #1","Marvel Comics","good","Male","null","5'10","178 cm","175 lb","79 kg","White","No Hair","Adventurer, reality traveler","Mobile","Exiles; (Formerly) X-Men, New Mutants, Avengers all of his home reality","Unnamed mother (deceased), Unnamed father",,,,,,,,,,,,,,,,,,,
474,"Moses Magnum","75","28","12","42","55","56","Moses Magnum","No alter egos found.","Magnum Force,","-","Giant-Size Spider-Man #4 (1975)","Marvel Comics","bad","Male","null","5'9","175 cm","159 lb","72 kg","Brown","Black","Terrorist, president of Magnum Munitions; former ruler of Canaan","-","Magnum Force (leader), agent of Apocalypse; former agent of They Who Wield Power","-",,,,,,,,,,,,,,,,,,,
475,"Mr Immortal","50","10","8","100","69","30","Craig Hollis","No alter egos found.","-","-","West Coast Avengers Vol 2 #46","Marvel Comics","good","Male","Mutant","6'2","188 cm","156 lb","70 kg","Blue","Blond","-","-","-","-",,,,,,,,,,,,,,,,,,,
476,"Mr Incredible","50","83","33","95","29","40","Robert Parr","No alter egos found.","Mr. I","-","The Incredibles (Movies, 2004)","Dark Horse Comics","good","Male","Human","6'7","201 cm","350 lb","158 kg","Blue","Blond","-","-","Incredible Family","Helen Parr (Elastigirl, wife), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)","The Hero's Hero",Bob Parr,,,,,,,,,,,,,,,,,
477,"Ms Marvel II","38","63","23","84","11","56","Sharon Ventura","She-Thing","She-Thing","Pullman, Washington","-","She-Thing","good","Female","null","5'8","173 cm","135 lb","61 kg","Blue","Red","Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer","-","Former member of the Fantastic Four, Frightful Four, Unlimited Class Wrestling Federation, Thunderiders","-",,,,,,,,,,,,,,,,,,,
478,"Multiple Man","63","11","23","70","28","62","James Arthur","No alter egos found.","-","Los Alamos, New Mexico","GIANT-SIZE FANTASTIC FOUR #4","Marvel Comics","good","Male","null","5'11'","180 cm","155 lb","70 kg","Blue","Brown","Private investigator (formerly) Farmer, Adventurer","New York City","X-Factor Investigations (formerly) X-Factor, Fallen Angels, X-Corps, X-Corporation","Dr. Daniel Madrox (father, deceased), Joan Madrox (mother, deceased)",,,,,,,,,,,,,,,,,,,
479,"Mysterio","81","10","17","40","82","70","Quentin Beck","No alter egos found.","Nicholas Macabes","New York, New York","Amazing Spider-Man #13 (1964)","Marvel Comics","bad","Male","Human","5'11","180 cm","175 lb","79 kg","Brown","No Hair","Criminal; former Hollywood special effects designer and stunt man","New York City, New York State (Earth-1610) formerly New York City, New York (Earth-616)","None; Former Sinister Six","Henrietta Beck (mother), Elmore Beck (father), Vincent (uncle), Maguire Beck (Jack O'Lantern) (cousin)","Rudolph Hines",Gerdes,Doctor Ludwig Rinehart,,,,,,,,,,,,,,,,
480,"Mystique","75","12","23","64","64","74","Raven Darkholme","No alter egos found.","Mallory Brickman","-","(as Raven Darkholme) MS. MARVEL #16, (as Mystique) MS. MARVEL #18","Marvel Comics","bad","Female","Mutant","5'10","178 cm","120 lb","54 kg","Yellow (without irises)","Red / Orange","Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team","Arlington, Virginia","Founder and leader of the third Brotherhood of Evil Mutants, now known as Freedom Force; X-Factor, X-Men","Rogue (unofficial foster daughter), Ralph Brickman (husband), Gloria Brickman (daughter), Graydon Creed (son, deceased)",,,,,,,,,,,,,,,,,,,
481,"Namor","69","95","58","70","73","85","Namor McKenzie","No alter egos found.","Imperius Rex","Atlantis","Motion Picture Funnies Weekly #1 (April, 1939)","Marvel Comics","good","Male","Atlantean","6'2","188 cm","278 lb","125 kg","Grey","Black","King of Atlantis, Adventurer; former warrior, commando, CEO","Ultimate Universe; formerly New Atlantis, Utopia, San Francisco Bay, California; Atlantis; Necropolis, Wakanda; occasionally mobile","Cabal (founder), Invaders, Atlantis; formerly Illuminati, X-Men, Extinction Team, Phoenix Five, Defenders, Osborn's X-Men, Osborn's Cabal, Avengers, All-Winners Squad, Titans Three, Fantastic Four, Oracle Inc., Order, Deep Six (founder and leader); ally o","Elanna (maternal ancestor), Tanas (maternal ancestor), Zartra (maternal ancestor), Orrek (maternal distant relative), Stegor (maternal ancestor), Kamuu (maternal ancestor), Harran (maternal ancestor), Kalen (maternal ancestor), Ossem (maternal ancestor), Balaal (maternal ancestor), Thallo (maternal ancestor), Immanu (maternal great-grandfather-in-law, deceased), Thakorr (maternal grandfather, deceased), Korra (maternal grandmother), Wa-Korr (grandfather-in-law, presumed deceased), Wathan (father-in-law, presumed deceased), Tom Smallwood (father-in-law), Gladys Smallwood (mother-in-law), Zarina (maternal aunt), Namora's father (uncle), Daka (maternal uncle), Brynn (aunt-by-marriage/step-grandmother), Fen (mother, deceased), Leonard McKenzie (father, deceased), Experiment N2 (clone), Lawrence McKenzie (paternal half-brother), Dorma (wife / distant cousin, deceased), Marrina (wife), three unnamed children (by Marrina), Kamar (son, deceased), Black Moray (Leon McKenzie) (paternal half-nephew), Llyron McKenzie (paternal great-nephew), Dan Smallwood (brother-in-law), Namora (maternal cousin), Beemer (maternal cousin), Bobo (maternal cousin), Byrrahna (maternal cousin), Namita (maternal cousin), Daro (maternal cousin), Dara (maternal cousin), Seth (maternal cousin), Argus (maternal cousin), Arkus (maternal cousin), Byrrah (maternal cousin), Namorita (maternal 1st cousin once removed).","Dr. G.W. Falton",Sub-Mariner,"""Subby""",Namor the First,Avenging Son,"Old Man","Rex","Joe Pierre","Lord of the Seven Seas","the Scion of the Deep","Phoenix",,,,,,,,
482,"Namor","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
483,"Namora","50","85","42","42","48","64","Aquaria Nautica Neptunia","No alter egos found.","Sub-Mariner","Unnamed Atlantean outpost","Marvel Mystery Comics #82 (1947)","Marvel Comics","good","Female","null","5'11","180 cm","189 lb","85 kg","Blue","Blond","-","-","Agents of Atlas, Long-time ally of Namor; Monster Hunters, Invaders, All Winners Squad; At one time or another was partnered with FBI Agent Jimmy Woo, Sun Girl, Venus, Golden Girl, Hulk","Namor (cousin), Talan (husband, deceased), Namorita (""daughter"" cloned)","Avenging Daughter",the Sea Beauty,,,,,,,,,,,,,,,,,
484,"Namorita","50","72","47","70","37","70","Namorita Prentiss","No alter egos found.","Kymaera","Atlantis Outskirts","SUB-MARINER Vol. 2 #50 (1972)","Marvel Comics","good","Female","null","5'6","168 cm","225 lb","101 kg","Blue","Blond","Superhero, formerly Leader of Atlantis","Mobile, formerly New Warriors headquarters and Atlantis","Formerly Council of Three, New Warriors, Fantastic Four, Soldiers of Misfortune, Water Children","Namora (mother); Talan (father, deceased); Namor, Byrrah, Dara, Arkus (first cousins once removed); Fen (great-aunt, deceased); Thakorr (great-grandfather, deceased); Korra (great-grandmother, presumed deceased); large extended family; Betty Prentiss (legal guardian, deceased)","Hard",,,,,,,,,,,,,,,,,,
485,"Naruto Uzumaki","50","80","32","80","100","100",,"No alter egos found.","-","-","-","Shueisha","good","Male","Human","5'6","168 cm","121 lb","54 kg","-","-","-","Konohagakure","Team 7","-",,,,,,,,,,,,,,,,,,,
